Giá,DT,Đường,Phường-Xã,Quận-Huyện,Thành Phố,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ
"3,24 tỷ",70 m,Đường Lý Tế Xuyên, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Bắc,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,14m,---,---
4 tỷ,60 m,Đường Tôn Thất Thiệp, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,"3,7m",---,Nhà mặt tiền,---,---,4m,1,---,15m,2,---
"2,35 tỷ",42 m,Hoàng hoa thám Đường Hoàng Hoa Thám, Phường Tân Chính, Quận Thanh Khê, Đà Nẵng,Đông Nam,Y,Cần bán,3m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,3m,2,Y,14m,2,---
"2,5 tỷ",61 m,Đường Điện Biên Phủ, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,3m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"9,15m",---,---,---,1,---
"3,25 tỷ",90 m,Đường Trưng Nữ Vương, Phường Bình Thuận, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,6m,---,Nhà mặt tiền,---,---,9m,3,---,---,3,---
"1,91 tỷ",120 m,Đường Trường Chinh, Phường Hòa Thọ Tây, Quận Cẩm Lệ, Đà Nẵng,Tây Nam,---,Cần bán,"2,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,1,---,24m,2,---
"6,2 tỷ",85 m,Đường Trần Can, Phường An Khê, Quận Thanh Khê, Đà Nẵng,_,---,Cần bán,"7,5m",---,Nhà mặt tiền,---,---,5m,3,---,17m,4,---
"8,5 tỷ",85 m,Đường Mỹ Đa Đông 3, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,10m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,1,---,16m,1,---
"7,6 tỷ",110 m,22 Đường Phạm Ngọc Mậu, Phường An Khê, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,"10,m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,6m,4,Y,---,4,---
"6,2 tỷ",69 m,Đường Lê Văn Long, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,"5,5m",---,Nhà mặt tiền,---,---,"4,5m",4,---,"15,3m",4,---
11 tỷ,85 m,Đường Phạm Văn Nghị, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng,_,---,Cần bán,"7,5m",---,Nhà mặt tiền,---,---,"6,47m",3,---,"16,46m",4,---
