Giá,DT,Đường,Phường-Xã,Quận-Huyện,Thành Phố,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ
"13,9 tỷ",99 m,Đường Nguyễn Văn Thoại, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,6m,---,"Nhà hàng, khách sạn",---,---,---,18,---,---,---,---
"4,3 tỷ",114 m,Đường Lê Duẩn, Phường Tân Chính, Quận Thanh Khê, Đà Nẵng,_,---,Cần bán,7m,---,Nhà mặt tiền,---,---,---,1,---,---,2,---
"9,2 tỷ",60 m,Đường Phạm Văn Nghị, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng,_,---,Cần bán,5m,---,Nhà mặt tiền,---,---,---,2,---,---,3,---
20 tỷ,123 m,Đường Triệu Nữ Vương, Phường Hải Châu II, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,5m,---,Nhà mặt tiền,---,---,---,5,---,---,7,---
5 tỷ,92 m,Đường Tiên Sơn 8, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng,_,Y,Cần bán,"7,5m",Y,Nhà mặt tiền,---,---,"4,5m",1,---,"17,5m",3,---
2 tỷ,53 m,Đường Trường Chinh, Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng,Nam,Y,Cần bán,4m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,"4,5m",2,Y,---,2,---
"6,15 tỷ",88 m,Đường Tiên Sơn 10, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,5m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
"13,5 tỷ",141 m,Đường Lương Ngọc Quyến, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,5m,---,Nhà mặt tiền,---,---,---,2,---,---,3,---
"3,18 tỷ",100 m,Đường Cồn Dầu 7, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây Bắc,---,Cần bán,5m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"5,95 tỷ",83 m,Đường Nguyễn Hữu Thọ, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng,Đông Bắc,---,Cần bán,6m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,7m,4,---,12m,3,---
"8,2 tỷ",178 m,Đường Phan Thao, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây Nam,---,Cần bán,10m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,8m,---,---,24m,---,---
"3,18 tỷ",100 m,Đường Trung Lương 2, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Đông Nam,---,Cần bán,5m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"4,5 tỷ",139 m,Đường Lê Hiến Mai, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,_,---,Cần bán,7m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
"4,7 tỷ",102 m,Đường Lê Trọng Tấn, Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng,Nam,Y,Cần bán,10m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,2,Y,22m,2,---
12 tỷ,161 m,Đường Nguyễn Thành Hãn, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng,Đông Bắc,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,"6,9m",---,---,25m,---,---
"2,65 tỷ",100 m,Đường Tùng Lâm 8, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây,---,Cần bán,5m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"16,5 tỷ",300 m,Đường Nguyễn Đình Thi, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Đông Nam,---,Cần bán,7m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,12m,---,---,25m,---,---
"3,2 tỷ",100 m,Đường Cồn Dầu 7, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây Bắc,---,Cần bán,5m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"5,95 tỷ",100 m,Đường Tôn Thất Dương Kỵ, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây Nam,---,Cần bán,7m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,3,---,20m,3,---
"27,5 tỷ",100 m,Đường Hồ Nghinh, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,25m,---,"Nhà hàng, khách sạn",Sổ hồng/ Sổ đỏ,---,5m,8,---,20m,22,---
"11,7 tỷ",90 m,Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng,Bắc,---,Cần bán,11m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,2,---,16m,2,---
"6,15 tỷ",88 m,Đường Tiên Sơn 10, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,5m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,---,---,---,---,---,---
"4,7 tỷ",143 m,Đường Tôn Đản, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng,Đông Bắc,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,"5,5m",---,---,26m,---,---
"5,95 tỷ",83 m,Đường Nguyễn Hữu Thọ, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng,Đông Bắc,---,Cần bán,6m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,7m,4,---,12m,3,---
"4,9 tỷ",125 m,Đường Nhất Chi Mai, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng,Tây Bắc,---,Cần bán,"7,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,2,---,25m,3,---
"2,45 tỷ",90 m,Đường Phước Lý 17, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,Đông Nam,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,18m,---,---
"3,18 tỷ",100 m,Đường Bàu Mạc 15, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng,Đông Nam,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"4,7 tỷ",102 m,Đường Lê Trọng Tấn, Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng,Nam,Y,Cần bán,10m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,2,Y,22m,2,---
12 tỷ,161 m,Đường Nguyễn Thành Hãn, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng,Đông Bắc,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,"6,9m",---,---,25m,---,---
"6,5 tỷ",97 m,Đường Bình Hòa 5, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Bắc,---,Cần bán,"3,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"4,5m",3,---,110m,3,---
"6,9 tỷ",118 m,Đường Tú Mỡ, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng,Tây Bắc,---,Cần bán,10m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,3,---,23m,8,---
"4,25 tỷ",142 m,Đường Nguyễn Đức Thiệu, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng,Đông Nam,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,22m,---,---
"3,7 tỷ",75 m,Đường Phú Lộc 8, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,Tây,---,Cần bán,"5,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,2,---,15m,2,---
"27,5 tỷ",100 m,Đường Hồ Nghinh, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng,_,---,Cần bán,25m,---,"Nhà hàng, khách sạn",Sổ hồng/ Sổ đỏ,---,5m,8,---,20m,22,---
"4,9 tỷ",62 m,Đường Hàn Mạc Tử, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng,Tây,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,4m,2,---,16m,2,---
"11,7 tỷ",90 m,Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng,Bắc,---,Cần bán,11m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,2,---,16m,2,---
"3,75 tỷ",79 m,Đường Bình Hòa 14, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng,Tây Nam,---,Cần bán,4m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,3,---,16m,3,---
"3,1 tỷ",78 m,Đường Cẩm Bắc 4, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng,Đông,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,6m,---,---,13m,---,---
"4,7 tỷ",143 m,Đường Tôn Đản, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng,Đông Bắc,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,"5,5m",---,---,26m,---,---
"2,45 tỷ",90 m,Đường Phước Lý 17, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,Đông Nam,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,18m,---,---
"3,18 tỷ",100 m,Đường Bàu Mạc 15, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng,Đông Nam,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"3,3 tỷ",59 m,Đường Bình Hòa 1, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng,Tây Nam,---,Cần bán,4m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,2,---,11m,2,---
"3,49 tỷ",85 m,Đường Trần Quý Khoách, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,Đông,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,17m,---,---
"2,05 tỷ",67 m,Đường Tôn Đức Thắng, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng,Tây Nam,---,Cần bán,3m,---,"Phòng trọ, nhà trọ",Sổ hồng/ Sổ đỏ,---,5m,1,---,14m,5,---
"3,2 tỷ",132 m,Đường Thích Phước Huệ, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,Bắc,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,26m,---,---
"2,45 tỷ",89 m,Đường Tôn Đản, Phường Hòa Thọ Tây, Quận Cẩm Lệ, Đà Nẵng,Tây Nam,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,18m,---,---
"4,25 tỷ",142 m,Đường Nguyễn Đức Thiệu, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng,Đông Nam,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,22m,---,---
"3,18 tỷ",78 m,Đường Cẩm Bắc 4, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng,Tây Nam,---,Cần bán,"5,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,6m,1,---,13m,3,---
"4,9 tỷ",62 m,Đường Hàn Mạc Tử, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng,Tây,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,4m,2,---,16m,2,---
"2,96 tỷ",112 m,Đường Kiều Sơn Đen, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Nam,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,22m,---,---
6 tỷ,100 m,Đường Mỹ An 7, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Đông,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"2,05 tỷ",100 m,Đường Cổ Mân Mai 3, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Đông,---,Cần bán,5m5m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"3,65 tỷ",110 m,Đường Bùi Tấn Diên, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,Tây Nam,---,Cần bán,10m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,22m,---,---
"3,95 tỷ",98 m,Đường Đỗ Bá, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Đông,---,Cần bán,4m,---,"Phòng trọ, nhà trọ",Sổ hồng/ Sổ đỏ,---,"3,5m",1,---,28m,4,---
4 tỷ,74 m,Đường Nguyễn Lương Bằng, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng,Tây Nam,---,Cần bán,30m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,4m,---,---,19m,---,---
4 tỷ,112 m,Đường Hòa Nam 5, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,Bắc,---,Cần bán,"7,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,2,---,22m,4,---
"3,8 tỷ",125 m,Đường Lê Thạch, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng,Đông Bắc,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,25m,---,---
"1,96 tỷ",120 m,Đường Trường Chinh, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng,Tây Nam,---,Cần bán,"2,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,1,---,24m,1,---
"2,55 tỷ",87 m,Đường Trần Đình Nam, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng,Đông Bắc,---,Cần bán,5m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,1,---,18m,2,---
"2,99 tỷ",100 m,Đường Nhơn Hòa 18, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng,Đông Bắc,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"5,8 tỷ",155 m,Đường Hoàng Sâm, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,_,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,8m,---,---,20m,---,---
"3,49 tỷ",85 m,Đường Trần Quý Khoách, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,Đông,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,17m,---,---
"3,26 tỷ",70 m,Đường Lý Tế Xuyên, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng,Nam,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,14m,---,---
"3,2 tỷ",88 m,Đường Huỳnh Lắm, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,Bắc,---,Cần bán,"5,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,2,---,17m,3,---
"3,75 tỷ",110 m,Đường Minh Mạng, Phường Hòa Quý, Quận Ngũ Hành Sơn, Đà Nẵng,Tây Nam,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,22m,---,---
"2,45 tỷ",100 m,Đường Khái Tây 2, Phường Hòa Quý, Quận Ngũ Hành Sơn, Đà Nẵng,Tây Bắc,---,Cần bán,"5,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,1,---,20m,1,---
"3,25 tỷ",85 m,Đường Gò Nãy 5, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,Tây Bắc,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,17m,---,---
"5,3 tỷ",125 m,Đường Nguyễn Xí, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,Đông Bắc,---,Cần bán,"7,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,2,---,25m,2,---
"3,6 tỷ",100 m,Đường Tú Quỳ, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,Tây Nam,---,Cần bán,"7,5m",---,"Phòng trọ, nhà trọ",Sổ hồng/ Sổ đỏ,---,5m,1,---,20m,5,---
"4,6 tỷ",100 m,Đường Trịnh Lỗi, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Tây Nam,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"2,05 tỷ",100 m,Đường Cổ Mân Mai 3, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Đông,---,Cần bán,5m5m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"3,45 tỷ",85 m,Đường Trần Quý Khoách, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,Tây Nam,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,17m,---,---
"2,55 tỷ",100 m,Đường Trường Sơn, Phường Hòa Thọ Tây, Quận Cẩm Lệ, Đà Nẵng,Bắc,---,Cần bán,15m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"3,95 tỷ",98 m,Đường Đỗ Bá, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Đông,---,Cần bán,4m,---,"Phòng trọ, nhà trọ",Sổ hồng/ Sổ đỏ,---,"3,5m",1,---,28m,4,---
"4,25 tỷ",125 m,Đường Lê Như Hổ, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,Đông Nam,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,25m,---,---
"2,25 tỷ",96 m,Đường Đà Sơn, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng,_,---,Cần bán,4m,---,Nhà trong hẻm,---,---,4m,2,---,24m,1,---
7 tỷ,53 m,Đường Đỗ Quang, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng,Đông,---,Cần bán,"5,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,3,---,10m,1,---
"3,15 tỷ",100 m,Đường Võ Sạ, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây Bắc,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"3,25 tỷ",132 m,Đường Thích Phước Huệ, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,Bắc,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,26m,---,---
"3,3 tỷ",113 m,Đường Hoàng Văn Thái, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng,Tây Bắc,---,Cần bán,27m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,"4,5m",---,---,25m,---,---
"3,9 tỷ",102 m,Đường Đoàn Hữu Trưng, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng,Tây,---,Cần bán,"7,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,1,---,20m,1,---
"3,15 tỷ",72 m,Đường Lê Thiệt, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,_,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,"4,5m",---,---,16m,---,---
"3,3 tỷ",80 m,Đường Đoàn Nguyễn Thục, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng,Tây Nam,---,Cần bán,"5,5m",---,"Phòng trọ, nhà trọ",Sổ hồng/ Sổ đỏ,---,6m,---,---,13m,---,---
"4,2 tỷ",95 m,Đường Hoài Thanh, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Đông,---,Cần bán,"7,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,2,---,20m,3,---
"3,35 tỷ",72 m,Đường Hòa Minh 1, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,Đông Bắc,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,"4,5m",---,---,18m,---,---
"3,8 tỷ",100 m,Đường Phú Xuân 1, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,Tây Nam,---,Cần bán,6m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"2,62 tỷ",100 m,Đường Cổ Mân Mai 3, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Đông,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,2m,---,---,20m,---,---
"3,7 tỷ",85 m,Đường Bàu Năng 10, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,Tây Bắc,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,17m,---,---
"3,15 tỷ",132 m,Đường Thích Phước Huệ, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,Bắc,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,26m,---,---
15 tỷ,263 m,Đường Mai Chí Thọ, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Đông Nam,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,24m,---,---,"10,5m",---,---
3 tỷ,100 m,Đường Hoàng Minh Giám, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Nam,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"2,9 tỷ",105 m,109 Đường Hoàng Thị Ái, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Bắc,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,21m,---,---
"3,4 tỷ",112 m,Đường Hoàng Văn Thái, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng,Tây Bắc,---,Cần bán,27m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,"4,5m",---,---,25m,---,---
"2,98 tỷ",100 m,Đường Nhơn Hòa 16, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng,_,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"3,45 tỷ",70 m,Đường Lưu Nhân Chú, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng,Đông Nam,---,Cần bán,"5,5m",---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,1,---,14m,2,---
"2,7 tỷ",117 m,Đường Huỳnh Tịnh Của, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,23m,---,---
46 tỷ,353 m,Đường Phan Văn Định, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng,Đông Nam,---,Cần bán,10m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,"8,9m",---,---,40m,---,---
"12,8 tỷ",100 m,Đường Nguyễn Phước Lan, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,Tây Nam,---,Cần bán,33m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"3,3 tỷ",113 m,Đường Hoàng Văn Thái, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng,Tây Bắc,---,Cần bán,27m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,"4,5m",---,---,25m,---,---
"5,6 tỷ",100 m,Đường Phạm Tứ, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng,Đông Nam,---,Cần bán,10m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,20m,---,---
"11,9 tỷ",105 m,Đường Ngô Tất Tố, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng,Tây,---,Cần bán,10m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,6m,---,---,18m,---,---
"10,2 tỷ",200 m,Đường Đoàn Khuê, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng,Tây Nam,---,Cần bán,11m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,10m,---,---,20m,---,---
18 tỷ,133 m,100 Đường Duy Tân, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng,Tây Nam,---,Cần bán,10m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,6m,1,---,23m,2,---
"5,7 tỷ",107 m,Đường Cách Mạng Tháng 8, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng,Tây Bắc,---,Cần bán,33m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,4m,---,---,25m,---,---
"8,2 tỷ",77 m,Đường Lưu Quý Kỳ, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng,Bắc,---,Cần bán,10m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,"4,5m",---,---,17m,---,---
"5,5 tỷ",190 m,Đường Bà Huyện Thanh Quan, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,Đông Bắc,---,Cần bán,5m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,5m,2,---,20m,3,---
30 tỷ,408 m,Đường Thăng long, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng,Đông Nam,---,Cần bán,10m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,30m,---,---,20m,---,---
