Giá,DT,Đường,Phường-Xã,Quận-Huyện,Thành Phố,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ
"3,2 tỷ",62 m,Đường Nguyễn Công Hãng, Phường An Khê, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,"2,5m",Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,4m,2,Y,15m,3,---
"5,8 tỷ",100 m,Đường Đặng Thùy Trâm, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng,_,Y,Cần bán,5m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,5m,2,Y,20m,3,---
"2,29 tỷ",100 m,Đường Hà Tông Quyền, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng,_,Y,Cần bán,2m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,5m,---,Y,20m,2,---
"3,5 tỷ",80 m,Đường Trần Đình Tri, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,_,Y,Cần bán,4m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,5m,3,Y,16m,3,---
"2,75 tỷ",65 m,Đường Trường Chinh, Phường An Khê, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,2m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,5m,1,Y,13m,3,---
"4,9 tỷ",56 m,Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,5m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,"4,5m",4,Y,13m,3,---
"3,2 tỷ",71 m,Đường Đà Sơn, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng,_,Y,Cần bán,"4,5m",Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,5m,3,Y,14m,3,---
4 tỷ,80 m,Đường Trần Cao Vân, Phường Tam Thuận, Quận Thanh Khê, Đà Nẵng,_,---,Cần bán,5m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,16m,5,---
"2,55 tỷ",60 m,Đường Trường Chinh, Phường An Khê, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,4m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,7m,1,Y,9m,3,---
"2,15 tỷ",81 m,Đường Cách Mạng Tháng 8, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng,_,Y,Cần bán,3m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,5m,1,Y,16m,3,---
8 tỷ,100 m,Đường Đinh Thị Vân, Phường An Khê, Quận Thanh Khê, Đà Nẵng,_,---,Cần bán,"10,5m",---,Nhà mặt tiền,---,---,---,3,---,---,4,---
"5,2 tỷ",125 m,Đường Nguyễn Viết Xuân, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,_,Y,Cần bán,7m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,2,Y,25m,4,---
"3,5 tỷ",100 m,Đường Nhân Hòa 2, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,_,Y,Cần bán,"5,5m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,2,Y,25m,2,---
"5,2 tỷ",130 m,Đường Nguyễn Văn Thoại, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,4m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"5,5m",---,---,24m,2,---
"4,7 tỷ",102 m,Thi Sách Đường Thi Sách, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng,_,Y,Cần bán,6m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,"5,1m",3,Y,20m,3,---
"2,3 tỷ",55 m,Đường Hoàng Diệu, Phường Nam Dương, Quận Hải Châu, Đà Nẵng,_,Y,Cần bán,2m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,"4,4m",3,---,12m,3,---
"2,5 tỷ",85 m,Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,4m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,4m,---,---,21m,---,---
"2,35 tỷ",110 m,Phước Tường 11 Đường Phước Tường 11, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng,_,Y,Cần bán,5m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"6,5m",---,Y,17m,2,---
"3,4 tỷ",125 m,Đường Nguyễn Thuật, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng,_,Y,Cần bán,"7,5m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,---,Y,125m,2,---
"3,55 tỷ",130 m,Đường Nguyễn Thị Cận, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,_,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",---,---,"6,5m",---,---,20m,---,---
"2,4 tỷ",71 m,Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng,_,Y,Cần bán,3m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"6,3m",---,Y,13m,2,---
"2,35 tỷ",64 m,Đường Nguyễn Phước Nguyên, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,"3,5m",Y,Nhà trong hẻm,---,---,5m,---,Y,13m,2,---
"3,3 tỷ",55 m,Đường Ngô Gia Tự, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng,_,Y,Cần bán,3m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,4m,3,Y,14m,3,---
"3,9 tỷ",125 m,Đường Trần Cao Vân, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,5m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"5,5m",2,Y,24m,4,---
"7,4 tỷ",260 m,Đường Nguyễn Duy Trinh, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,_,Y,Cần bán,10m,Y,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,Y,10m,2,Y,25m,4,---
"2,45 tỷ",120 m,Đường Nguyễn Huy Tưởng, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,_,Y,Cần bán,3m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,5m,2,---,22m,3,---
"2,5 tỷ",56 m,Đường Nguyễn Tường Phổ, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,_,Y,Cần bán,4m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,8m,---,Y,7m,2,---
"2,3 tỷ",85 m,Đường Trần Ngọc Sương, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng,_,Y,Cần bán,5m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,"6,2m",2,Y,"15,5m",3,---
"3,75 tỷ",92 m,Đường Hà Huy Tập, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,"3,5m",Y,"Phòng trọ, nhà trọ",Sổ hồng/ Sổ đỏ,Y,"5,4m",2,Y,17m,8,---
"3,1 tỷ",90 m,Đường Bình Thái 4, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng,_,Y,Cần bán,7m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,---,Y,18m,2,---
4 tỷ,71 m,2 tháng 9 Đường 2/9, Phường Bình Hiên, Quận Hải Châu, Đà Nẵng,_,Y,Cần bán,4m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,4m,3,Y,18m,2,---
"2,98 tỷ",90 m,Đường Trần Xuân Lê, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,4m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,"6,2m",---,Y,11m,2,---
"3,35 tỷ",54 m,Đường Trần Cao Vân, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng,Đông Bắc,Y,Cần bán,3m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,"4,5m",2,---,---,3,---
"3,6 tỷ",83 m,Đường Phạm Kiệt, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng,Đông Nam,Y,Cần bán,---,Y,Căn hộ chung cư,Sổ hồng/ Sổ đỏ,Y,---,9,Y,---,2,---
"8,8 tỷ",60 m,Đường An Thượng 1, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,_,Y,Cần bán,6m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,4,Y,12m,7,---
"5,8 tỷ",76 m,Đường Hải Phòng, Phường Tân Chính, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,5m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,"4,5m",2,Y,17m,2,---
"4,5 tỷ",70 m,Đường Hoàng Diệu, Phường Nam Dương, Quận Hải Châu, Đà Nẵng,Tây Bắc,Y,Cần bán,3m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,5m,3,---,---,3,---
"3,6 tỷ",65 m,Đường Hải Phòng, Phường Tân Chính, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,3m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,"4,7m",2,Y,14m,3,---
"4,5 tỷ",50 m,Đường Hoàng Thúc Trâm, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng,Đông Nam,Y,Cần bán,3m,Y,Nhà trong hẻm,---,Y,5m,4,---,---,4,---
"5,2 tỷ",125 m,Đường Ngô Thế Lân, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng,Đông,Y,Cần bán,"7,5m",Y,Nhà mặt tiền,---,Y,5m,2,Y,---,4,---
"4,5 tỷ",84 m,Đường Nguyễn Thiện Kế, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng,Tây Nam,---,Cần bán,"5,5m",---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,"6,18m",---,Y,---,---,---
32 tỷ,536 m,Đường 2/9, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng,_,Y,Cần bán,20m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,8m,1,Y,67m,5,---
28 triệu / m,427 m,Đường Võ Nguyên Giáp, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,Đông Nam,---,Cần bán,20m,---,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,---,15m,3,---,"28,4m",3,---
"5,59 tỷ",70 m,Đường Tiểu La, Phường Hòa Cường, Quận Hải Châu, Đà Nẵng,Đông,Y,Cần bán,4m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,5m,4,Y,---,4,---
"3,6 tỷ",68 m,Đường Lê Thanh Nghị, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng,Đông Bắc,Y,Cần bán,3m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,5m,2,---,---,3,---
"7,2 tỷ",85 m,Đường Nguyễn Khang, Phường An Khê, Quận Thanh Khê, Đà Nẵng,Tây Nam,Y,Cần bán,"5,5m",Y,Nhà mặt tiền,---,Y,5m,4,Y,---,4,---
"3,65 tỷ",45 m,Đường Ông Ích Khiêm, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng,_,Y,Cần bán,8m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,9m,3,Y,5m,2,---
"4,8 tỷ",345 m,Đường Võ Nguyên Giáp, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,Đông,Y,Cần bán,17m,Y,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,Y,15m,3,Y,23m,5,---
"2,5 tỷ",48 m,Đường Dũng Sĩ Thanh Khê, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng,Đông Bắc,Y,Cần bán,"2,5m",Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,5m,2,---,---,2,---
"5,99 tỷ",100 m,Đường Mẹ Nhu, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng,Đông Nam,Y,Cần bán,7m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,3,Y,---,3,---
"5,7 tỷ",85 m,Đường Gò Nãy 3, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,Tây Nam,Y,Cần bán,"5,5m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,3,Y,---,3,---
"4,5 tỷ",82 m,Đường Nguyễn Huy Tưởng, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,Đông,Y,Cần bán,"7,5m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,1,Y,---,2,---
"2,3 tỷ",55 m,Đường Lê Độ, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,"2,5m",Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,5m,2,---,11m,2,---
"3,5 tỷ",100 m,Đường Nhân Hòa 2, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng,_,Y,Cần bán,"5,5m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,2,Y,25m,2,---
"5,2 tỷ",130 m,Đường Nguyễn Văn Thoại, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng,_,---,Cần bán,4m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"5,5m",---,---,24m,2,---
"4,7 tỷ",102 m,Thi Sách Đường Thi Sách, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng,_,Y,Cần bán,6m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,"5,1m",3,Y,20m,3,---
"2,3 tỷ",55 m,Đường Hoàng Diệu, Phường Nam Dương, Quận Hải Châu, Đà Nẵng,_,Y,Cần bán,2m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,"4,4m",3,---,12m,3,---
"2,5 tỷ",85 m,Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,4m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,4m,---,---,21m,---,---
"2,35 tỷ",110 m,Phước Tường 11 Đường Phước Tường 11, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng,_,Y,Cần bán,5m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"6,5m",---,Y,17m,2,---
"3,4 tỷ",125 m,Đường Nguyễn Thuật, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng,_,Y,Cần bán,"7,5m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,---,Y,125m,2,---
"3,55 tỷ",130 m,Đường Nguyễn Thị Cận, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,_,---,Cần bán,"7,5m",---,"Đất thổ cư, đất ở",---,---,"6,5m",---,---,20m,---,---
"3,3 tỷ",55 m,Đường Ngô Gia Tự, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng,_,Y,Cần bán,3m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,4m,3,Y,14m,3,---
"3,9 tỷ",125 m,Đường Trần Cao Vân, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,5m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"5,5m",2,Y,24m,4,---
"7,4 tỷ",260 m,Đường Nguyễn Duy Trinh, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng,_,Y,Cần bán,10m,Y,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,Y,10m,2,Y,25m,4,---
"2,45 tỷ",120 m,Đường Nguyễn Huy Tưởng, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,_,Y,Cần bán,3m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,5m,2,---,22m,3,---
"2,5 tỷ",56 m,Đường Nguyễn Tường Phổ, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,_,Y,Cần bán,4m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,8m,---,Y,7m,2,---
"2,3 tỷ",85 m,Đường Trần Ngọc Sương, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng,_,Y,Cần bán,5m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,"6,2m",2,Y,"15,5m",3,---
"3,75 tỷ",92 m,Đường Hà Huy Tập, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,"3,5m",Y,"Phòng trọ, nhà trọ",Sổ hồng/ Sổ đỏ,Y,"5,4m",2,Y,17m,8,---
"3,1 tỷ",90 m,Đường Bình Thái 4, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng,_,Y,Cần bán,7m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,---,Y,18m,2,---
4 tỷ,71 m,2 tháng 9 Đường 2/9, Phường Bình Hiên, Quận Hải Châu, Đà Nẵng,_,Y,Cần bán,4m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,4m,3,Y,18m,2,---
"2,35 tỷ",64 m,Đường Nguyễn Phước Nguyên, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,"3,5m",Y,Nhà trong hẻm,---,---,5m,---,Y,13m,2,---
"4,95 tỷ",68 m,Đường Trần Huy Liệu, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng,Đông,Y,Cần bán,"7,5m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,68m,3,Y,---,3,---
"4,15 tỷ",50 m,Đường Mai Lão Bạng, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng,_,Y,Cần bán,3m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,5m,3,Y,10m,3,---
"4,1 tỷ",40 m,Đường Nguyễn Phước Nguyên, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,"7,5m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,"5,9m",3,Y,7m,3,---
"2,88 tỷ",30 m,Đường Nguyễn Tri Phương, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,1m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,"3,2m",3,Y,10m,2,---
"2,1 tỷ",75 m,Đường Tôn Đản, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng,_,Y,Cần bán,3m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,5m,1,---,15m,2,---
"3,2 tỷ",62 m,Đường Nguyễn Công Hãng, Phường An Khê, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,"2,5m",Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,4m,2,Y,15m,3,---
"5,8 tỷ",100 m,Đường Đặng Thùy Trâm, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng,_,Y,Cần bán,5m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,5m,2,Y,20m,3,---
"2,29 tỷ",100 m,Đường Hà Tông Quyền, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng,_,Y,Cần bán,2m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,5m,---,Y,20m,2,---
"3,5 tỷ",80 m,Đường Trần Đình Tri, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,_,Y,Cần bán,4m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,5m,3,Y,16m,3,---
"2,75 tỷ",65 m,Đường Trường Chinh, Phường An Khê, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,2m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,5m,1,Y,13m,3,---
"4,9 tỷ",56 m,Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,5m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,"4,5m",4,Y,13m,3,---
"3,2 tỷ",71 m,Đường Đà Sơn, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng,_,Y,Cần bán,"4,5m",Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,5m,3,Y,14m,3,---
4 tỷ,80 m,Đường Trần Cao Vân, Phường Tam Thuận, Quận Thanh Khê, Đà Nẵng,_,---,Cần bán,5m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,5m,---,---,16m,5,---
"2,55 tỷ",60 m,Đường Trường Chinh, Phường An Khê, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,4m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,7m,1,Y,9m,3,---
"2,15 tỷ",81 m,Đường Cách Mạng Tháng 8, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng,_,Y,Cần bán,3m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,5m,1,Y,16m,3,---
11 tỷ,75 m,Đường Hà Huy Tập, Phường An Khê, Quận Thanh Khê, Đà Nẵng,Đông,Y,Cần bán,10m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,3,Y,---,3,---
8 tỷ,100 m,Đường Đinh Thị Vân, Phường An Khê, Quận Thanh Khê, Đà Nẵng,_,---,Cần bán,"10,5m",---,Nhà mặt tiền,---,---,---,3,---,---,4,---
"6,8 tỷ",81 m,Đường Phạm Nhữ Tăng, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng,Tây Nam,Y,Cần bán,"7,5m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,---,3,Y,---,3,---
"5,2 tỷ",125 m,Đường Nguyễn Viết Xuân, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,_,Y,Cần bán,7m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,2,Y,25m,4,---
"2,35 tỷ",161 m,Đường Hoàng Văn Thái, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng,_,---,Cần bán,4m,---,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,---,9m,---,Y,18m,---,---
"5,1 tỷ",125 m,Đường Đồng Xoài, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,_,Y,Cần bán,10m,Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,5m,3,Y,25m,7,---
"8,8 tỷ",60 m,Đường An Thượng 38, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng,_,Y,Cần bán,"5,5m",Y,Nhà mặt tiền,---,Y,5m,4,Y,14m,7,---
"3,7 tỷ",65 m,Đường Cù Chính Lan, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,5m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,"4,2m",2,Y,16m,3,---
"2,7 tỷ",45 m,Đường Hải Phòng, Phường Tân Chính, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,4m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,6m,2,---,8m,2,---
"5,5 tỷ",160 m,Đường Núi Thành, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng,_,---,Cần bán,3m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"5,5m",2,---,29m,15,---
"2,4 tỷ",71 m,Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng,_,Y,Cần bán,3m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"6,3m",---,Y,13m,2,---
"2,6 tỷ",50 m,Đường Trưng Nữ Vương, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng,_,Y,Cần bán,"2,5m",Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,4m,2,Y,13m,2,---
"3,65 tỷ",35 m,Đường Nguyễn Phước Nguyên, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,"7,5m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,7m,4,Y,5m,3,---
"2,5 tỷ",50 m,Đường Hàn Mạc Tử, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng,_,Y,Cần bán,"2,5m",Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,4m,2,---,12m,2,---
3 tỷ,85 m,Đường Trần Cao Vân, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,3m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,4m,2,---,22m,4,---
"3,1 tỷ",22 m,Đường Lê Ngô Cát, Phường Tân Chính, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,"7,5m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,"3,5m",3,Y,7m,4,---
"3,85 tỷ",70 m,Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng,_,Y,Cần bán,"2,5m",Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,8m,2,Y,9m,2,---
"2,35 tỷ",100 m,Đường Nguyễn Đình Tứ, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,_,Y,Cần bán,5m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,5m,---,Y,20m,3,---
"2,2 tỷ",100 m,Đường Phạm Như Xương, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng,_,Y,Cần bán,"5,5m",Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,14m,---,Y,7m,5,---
4 tỷ,61 m,Đường Cao Sơn Pháo, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng,_,Y,Cần bán,"7,5m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,6m,3,Y,10m,3,---
"6,5 tỷ",171 m,Đường Cẩm Bắc 10, Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng,_,Y,Cần bán,"5,5m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,"9,4m",2,Y,"18,4m",6,---
"2,8 tỷ",60 m,Đường Tôn Đức Thắng, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng,_,Y,Cần bán,3m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,"4,5m",2,Y,13m,3,---
"2,98 tỷ",90 m,Đường Trần Xuân Lê, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,4m,Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,Y,"6,2m",---,Y,11m,2,---
"4,58 tỷ",106 m,Đường Tôn Đản, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng,_,Y,Cần bán,"7,5m",Y,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,Y,"5,3m",3,Y,20m,4,---
"2,1 tỷ",75 m,Đường Hùng Vương, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng,_,Y,Cần bán,"2,5m",Y,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"4,6m",---,---,16m,2,---
